zoneId;Attractivity:Work;Attractivity:Business;Attractivity:Otherhome;Attractivity:Education;Attractivity:Shopping;Attractivity:Leisure;Attractivity:Service;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Education_Occup;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Leisure_Walk;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Private_Business;Attractivity:Private_Visit
257;170;0;0;70;120;120;280;0;0;0;0;0;0;105;0;0;0;0
258;100;0;0;30;270;170;210;0;0;0;0;0;0;90;0;0;0;0
259;40;0;0;40;50;100;100;0;0;0;0;0;0;55;0;0;0;0
260;190;0;0;100;3360;1810;920;0;0;0;0;0;0;70;0;0;0;0
261;190;0;0;50;510;350;250;0;0;0;0;0;0;30;0;0;0;0
262;140;0;0;30;380;240;200;0;0;0;0;0;0;50;0;0;0;0
263;160;0;0;40;560;540;250;0;0;0;0;0;0;55;0;0;0;0
264;390;0;0;120;2380;1380;990;0;0;0;0;0;0;70;0;0;0;0
265;50;0;0;20;650;700;170;0;0;0;0;0;0;60;0;0;0;0
266;120;0;0;30;470;530;290;0;0;0;0;0;0;85;0;0;0;0
267;110;0;0;80;120;80;80;0;0;0;0;0;0;30;0;0;0;0
268;150;0;0;90;320;360;170;0;0;0;0;0;0;65;0;0;0;0
269;180;0;0;100;290;170;670;0;0;0;0;0;0;110;0;0;0;0
270;230;0;0;80;1060;1470;700;0;0;0;0;0;0;60;0;0;0;0
271;120;0;0;70;50;90;80;0;0;0;0;0;0;60;0;0;0;0
272;180;0;0;50;780;810;570;0;0;0;0;0;0;55;0;0;0;0
273;200;0;0;50;540;360;280;0;0;0;0;0;0;110;0;0;0;0
274;250;0;0;70;1350;900;750;0;0;0;0;0;0;85;0;0;0;0
275;240;0;0;100;300;290;430;0;0;0;0;0;0;170;0;0;0;0
276;140;0;0;30;330;1080;300;0;0;0;0;0;0;25;0;0;0;0
277;160;0;0;30;470;540;380;0;0;0;0;0;0;15;0;0;0;0
278;80;0;0;40;60;70;20;0;0;0;0;0;0;20;0;0;0;0
279;60;0;0;40;220;200;210;0;0;0;0;0;0;45;0;0;0;0
280;50;0;0;20;60;30;20;0;0;0;0;0;0;25;0;0;0;0
281;150;0;0;50;80;10;80;0;0;0;0;0;0;90;0;0;0;0
282;60;0;0;50;20;0;40;0;0;0;0;0;0;60;0;0;0;0
283;200;0;0;100;510;300;250;0;0;0;0;0;0;115;0;0;0;0
284;160;0;0;80;180;170;120;0;0;0;0;0;0;60;0;0;0;0
285;170;0;0;60;1520;720;640;0;0;0;0;0;0;80;0;0;0;0
286;90;0;0;70;0;50;40;0;0;0;0;0;0;30;0;0;0;0
287;150;0;0;100;40;30;20;0;0;0;0;0;0;55;0;0;0;0
288;170;0;0;40;40;90;90;0;0;0;0;0;0;50;0;0;0;0
289;70;0;0;40;410;530;120;0;0;0;0;0;0;75;0;0;0;0
290;130;0;0;40;300;500;240;0;0;0;0;0;0;70;0;0;0;0
291;80;0;0;30;60;180;50;0;0;0;0;0;0;50;0;0;0;0
292;150;0;0;50;200;200;310;0;0;0;0;0;0;65;0;0;0;0
293;170;0;0;30;130;100;70;0;0;0;0;0;0;85;0;0;0;0
294;180;0;0;60;320;290;200;0;0;0;0;0;0;85;0;0;0;0
295;240;0;0;70;380;320;180;0;0;0;0;0;0;115;0;0;0;0
296;20;0;0;10;0;20;20;0;0;0;0;0;0;15;0;0;0;0
297;180;0;0;80;170;600;180;0;0;0;0;0;0;145;0;0;0;0
298;210;0;0;110;380;250;280;0;0;0;0;0;0;75;0;0;0;0
299;340;0;0;120;1740;2000;710;0;0;0;0;0;0;70;0;0;0;0
300;120;0;0;30;550;350;200;0;0;0;0;0;0;50;0;0;0;0
301;30;0;0;10;70;160;20;0;0;0;0;0;0;30;0;0;0;0
302;110;0;0;20;340;100;90;0;0;0;0;0;0;60;0;0;0;0
303;160;0;0;50;620;730;240;0;0;0;0;0;0;80;0;0;0;0
304;180;0;0;90;110;140;80;0;0;0;0;0;0;55;0;0;0;0
305;190;0;0;40;70;100;80;0;0;0;0;0;0;75;0;0;0;0
306;120;0;0;50;230;100;110;0;0;0;0;0;0;75;0;0;0;0
307;40;0;0;10;40;0;20;0;0;0;0;0;0;20;0;0;0;0
308;40;0;0;10;0;0;0;0;0;0;0;0;0;15;0;0;0;0
309;130;0;0;70;110;160;100;0;0;0;0;0;0;65;0;0;0;0
310;80;0;0;10;0;0;0;0;0;0;0;0;0;25;0;0;0;0
311;40;0;0;10;0;0;10;0;0;0;0;0;0;45;0;0;0;0
312;40;0;0;20;0;0;0;0;0;0;0;0;0;15;0;0;0;0
313;30;0;0;20;0;80;0;0;0;0;0;0;0;30;0;0;0;0
314;140;0;0;30;0;0;40;0;0;0;0;0;0;50;0;0;0;0
315;70;0;0;50;30;0;0;0;0;0;0;0;0;30;0;0;0;0
316;220;0;0;40;70;110;180;0;0;0;0;0;0;50;0;0;0;0
317;160;0;0;80;40;50;60;0;0;0;0;0;0;50;0;0;0;0
318;210;0;0;60;390;100;200;0;0;0;0;0;0;80;0;0;0;0
319;200;0;0;60;170;80;120;0;0;0;0;0;0;120;0;0;0;0
320;120;0;0;40;200;180;170;0;0;0;0;0;0;80;0;0;0;0
321;340;0;0;150;350;360;180;0;0;0;0;0;0;100;0;0;0;0
